game_title,hours
007 Legends,0.7
0RBITALIS,1.2
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),20.0
10 Second Ninja,5.9
"10,000,000",3.6
100% Orange Juice,78.30000000000001
1000 Amps,0.1
12 Labours of Hercules,34.7
12 Labours of Hercules II The Cretan Bull,34.3
12 Labours of Hercules III Girl Power,19.6
140,6.3
15 Days,0.5
16 Bit Arena,0.0
16bit Trader,8.9
1701 A.D. Gold Edition,0.0
1701 A.D. Sunken Dragon,0.6
18 Wheels of Steel American Long Haul,5.8
1953 - KGB Unleashed,0.0
1953 NATO vs Warsaw Pact,5.9
1954 Alcatraz,0.0
1Heart,0.0
1Quest,2.7
3 Stars of Destiny,4.7
3089 -- Futuristic Action RPG,0.3
3D Mini Golf,1.0
3DMark,240.80000000000004
3DMark 11,3.0
3DMark API Overhead feature test,0.0
3DMark Cloud Gate benchmark,0.0
3DMark Fire Strike benchmark,0.0
3DMark Ice Storm benchmark,0.0
3DMark Sky Diver benchmark,0.0
3DMark Vantage,21.0
3SwitcheD,0.0
4 Elements,59.4
404Sight,3.7000000000000006
500 Years Act 1,3.0
60 Seconds!,9.299999999999999
7 Days to Die,4075.4999999999995
"7 Grand Steps, Step 1 What Ancients Begat",0.0
7 Wonders Ancient Alien Makeover,0.0
"7,62 High Calibre",0.0
8-Bit Adventures The Forgotten Journey Remastered Edition,0.0
8-Bit Commando,0.0
8BitBoy,27.199999999999996
8BitMMO,12.3
9 Clues 2 The Ward,5.1
9 Clues The Secret of Serpent Creek,11.200000000000001
9.03m,0.3
911 First Responders,0.0
99 Levels To Hell,6.9
99 Spirits,3.9
A Bastard's Tale,0.0
A Bird Story,11.6
A City Sleeps,0.0
A Druid's Duel,0.0
A Farewell to Dragons,0.0
A Game of Thrones - Genesis,79.2
A Golden Wake,1.2
A New Beginning - Final Cut,21.8
A Story About My Uncle,13.6
A Valley Without Wind,6.7
A Valley Without Wind 2,0.6
A Vampyre Story,0.0
A Virus Named TOM,23.5
A Walk in the Dark,2.5
A Wizard's Lizard,0.0
A-Men 2,0.0
A-Train 8,0.1
A.I.M. Racing,0.0
A.I.M.2 Clan Wars,0.0
A.R.E.S.,25.999999999999996
A.R.E.S. Extinction Agenda EX,9.6
A.V.A - Alliance of Valiant Arms,109.10000000000001
ACE - Arena Cyber Evolution,6.4
ACE COMBAT ASSAULT HORIZON Enhanced Edition,38.7
AGFPRO Fantasy Side-Scroller Player,0.0
AI War Fleet Command,28.0
AION Free-to-Play,20.0
AKIBA'S TRIP Undead & Undressed,24.0
ALLTYNEX Second,0.0
APB Reloaded,9237.2
APOX,0.4
AR-K,0.4
ARK Survival Evolved,13593.1
AVSEQ,0.0
AXEL,0.0
AXYOS,4.4
AZMD! Scorepocalypse ,1.1
AaAaAA!!! - A Reckless Disregard for Gravity,22.4
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,6.800000000000001
Aarklash Legacy,0.0
Abandoned Chestnut Lodge Asylum,5.7
Abducted,0.2
Aberoth,1.4
"About Love, Hate and the other ones",0.0
Absconding Zatwor,22.2
Absent,0.0
Absolute Drift,5.9
Abyss Odyssey,19.6
Abyss The Wraiths of Eden,6.8
Ace of Spades,521.2
Aces Wild Manic Brawling Action!,0.7
Achron,2.6
Act of Aggression,17.0
Act of War Direct Action,0.0
Act of War High Treason,0.0
Action! - Gameplay Recording and Streaming,269.0
Actual Sunlight,1.3
AdVenture Capitalist,6067.700000000001
Advent Rising,0.0
Adventure Chronicles The Search For Lost Treasure,0.7
Adventure Park,0.9
Adventure Time  Explore the Dungeon Because I DONT KNOW!,0.3
Adventurer Manager,21.0
Adventures of Bertram Fiddle Episode 1 A Dreadly Business,1.7
Adventures of Shuggy,9.3
Aeon Command,1.3
Aerena,6.6
After All,0.0
Afterfall InSanity - Dirty Arena Edition,0.9
Afterfall InSanity Extended Edition,57.7
Afterfall Reconquest Episode I,0.0
Afterlife Empire,0.2
Aftermath,275.5
Agapan,0.0
Agarest - Additional-PP Pack 1 DLC,0.0
Agarest - Additional-PP Pack 2 DLC,0.0
Agarest - Additional-Points Pack 2 DLC,0.0
Agarest - Additional-Points Pack 3 DLC,0.0
Agarest - Additional-Points Pack 4 DLC,0.0
Agarest - Additional-TP Pack DLC,0.0
Agarest - Basic Adventure Pack DLC,0.0
Agarest - Carrot-and-Stick Pack DLC,0.0
Agarest - Dull-Things Pack DLC,0.0
Agarest - Fallen Angel Pack DLC,0.0
Agarest - Fishy Pack 1 DLC,0.0
Agarest - Fishy Pack 2 DLC,0.0
Agarest - Jack Pack DLC,0.0
Agarest - Legendary Adventure Pack DLC,0.0
Agarest - Legendary-Monster Pack DLC,0.0
Agarest - Magic Fight Pack DLC,0.0
Agarest - Playful Cat Pack DLC,0.0
Agarest - Rebellious Pack DLC,0.0
Agarest - Rumored Adventure Pack DLC,0.0
Agarest - Seasoned-Breeder Pack DLC,0.0
Agarest - Secret-Society Pack DLC,0.0
Agarest - Tonight's Dinner DLC,0.0
Agarest - Top-Breeder Pack DLC,0.0
Agarest - Ultimate Equipment Pack DLC,0.0
Agarest - Unlock Gallery DLC,0.0
Agarest - Unlock Voices DLC,0.0
Agarest - Upgrade Pack 1 DLC,0.0
Agarest 2 - Bundle #1,0.0
Agarest 2 - Bundle #2,0.0
Agarest 2 - Bundle #3,0.0
Agarest 2 - Bundle #4,0.0
Agarest 2 - Bundle #5,0.0
Agarest 2 - Bundle #6,0.0
Agarest Generations of War,125.49999999999999
Agarest Generations of War 2,0.0
Agarest Generations of War Premium Edition Upgrade,0.0
Agarest Zero,31.8
Agarest Zero - DLC Pack 1,0.0
Agarest Zero - DLC Pack 2,0.0
Agarest Zero - DLC Pack 3,0.0
Agarest Zero - DLC Pack 4,0.0
Agarest Zero - DLC Pack 5,0.0
Agarest Zero - DLC Pack 7,0.0
Age of Booty,0.0
Age of Chivalry,970.0
Age of Conan - Hyborian Adventures,0.0
Age of Conan Rise of the Godslayer,4.6
Age of Conan Unchained - EU version,143.7
Age of Empires II HD Edition,6858.5
Age of Empires II HD The Forgotten,0.0
Age of Empires III Complete Collection,1422.1
Age of Empires Online,665.6
Age of Fear 2 The Chaos Lord,0.0
Age of Mythology Extended Edition,468.49999999999994
Age of Wonders,32.8
Age of Wonders 2,63.2
Age of Wonders III,1121.3
Age of Wonders Shadow Magic,35.8
Age of Wonders Trilogy Soundtrack,0.0
Age of Wushu,0.0
Aggression Europe Under Fire,0.6
Agricultural Simulator 2011 Extended Edition,0.1
Agricultural Simulator 2013 Steam Edition,69.6
Agricultural Simulator Historical Farming,0.0
Aion,41.400000000000006
Aion Collectors Edition,22.0
Air Brawl,4.9
Air Conflicts - Secret Wars,3.3
Air Conflicts Pacific Carriers,7.6
Air Forte ,0.0
AirBuccaneers,3.9
AirMech,521.3
Airline Tycoon 2,30.999999999999996
Airline Tycoon Deluxe,0.6
Airport Madness World Edition,9.0
Airport Simulator 2014,8.5
Akane the Kunoichi,3.3
Akaneiro Demon Hunters,0.4
Akaneiro Early Access Starter Pack,0.0
Akuatica,0.4
Alan Wake,1045.0
Alan Wake's American Nightmare,82.6
Albedo Eyes from Outer Space,0.0
Albino Lullaby Episode 1,1.5
Alchemy Mysteries Prague Legends,19.900000000000002
Alex Hunter - Lord of the Mind,2.7
Alganon,0.5
Alice Madness Returns,221.70000000000002
Alien Breed 2 Assault,36.0
Alien Breed 3 Descent,27.2
Alien Breed Impact,42.9
Alien Carnage / Halloween Harry,0.0
Alien Hallway,0.0
Alien Isolation,359.00000000000006
Alien Rage - Unlimited,14.4
Alien Shooter,0.0
Alien Shooter 2 Conscription,0.0
Alien Shooter 2 Reloaded,0.0
Alien Shooter Revisited,0.1
Alien Shooter Vengeance,13.299999999999999
Alien Spidy,0.0
Alien Swarm,1505.0
Alien Zombie Megadeath,0.0
Aliens Colonial Marines,219.20000000000002
Aliens versus Predator Classic 2000,17.3
Aliens vs. Predator,912.0
All Is Dust,8.6
All Zombies Must Die!,13.299999999999999
Alone in the Dark,0.4
Alpha Kimori Episode One ,3.6
Alpha Prime,1.7000000000000002
Alpha Protocol,52.8
Alter Ego,0.0
Alter World,0.1
Altitude,70.9
Alum,0.0
Always Sometimes Monsters,57.099999999999994
Always Sometimes Monsters - Soundtrack,0.0
Always Sometimes Monsters Demo,0.0
Amazing Adventures Around the World,12.0
Amazing Adventures The Lost Tomb,3.3
Amazing Princess Sarah,0.8
Amazing World,11.1
