user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
5250,0,0,3
76767,0,0,6
86540,0,0,19
229911,0,1,8
298950,0,1,48
547685,0,1,6
554278,0,0,6
561758,0,0,29
577614,0,0,2
622362,0,0,4
683019,0,0,2
748719,0,0,4
871990,0,0,2
948368,0,0,3
975449,0,0,68
994489,0,0,4
1024319,0,0,3
1072465,0,0,3
1129452,0,0,5
1364546,0,0,2
1423371,0,0,1
1612666,0,0,5
1834453,0,0,3
1936551,0,0,32
1950243,0,0,12
2039434,0,0,1
2083767,0,0,12
2110581,0,0,13
2259650,0,0,39
2428602,0,1,7
2531540,0,0,3
2643609,0,0,11
2753525,0,0,22
3054990,0,0,2
3244702,0,0,2
3249166,0,0,1
3449240,0,0,22
3527485,0,0,6
3674653,0,0,1
3747293,0,1,3
3783783,0,0,9
3979930,0,0,10
4064412,0,0,3
4485779,0,1,3
4595423,0,0,5
4824107,0,0,5
4834220,0,0,5
4877411,0,0,3
5220782,0,0,5
5270060,0,0,3
5307960,0,0,2
5387470,0,0,18
5600822,0,0,3
5689496,0,0,1
5759284,0,0,2
5860071,0,0,3
5949488,0,0,1
5976642,0,0,3
5990132,0,0,7
6144819,0,0,3
6252885,0,0,4
6439568,0,0,2
6717871,0,0,17
6928806,0,1,10
6979578,0,0,1
7015471,0,1,10
7020135,0,0,1
7163917,0,0,3
7203603,0,0,9
7249363,0,0,2
7273540,0,0,3
7418489,0,1,4
7431946,0,0,7
7440594,0,0,18
7519923,0,0,1
7757631,0,0,3
7907686,0,0,28
7955670,0,0,6
8013465,0,0,3
8259307,0,0,16
8311704,0,0,4
8542204,0,0,12
8585433,0,0,64
8763960,0,0,1
8776918,0,0,15
8784496,0,0,10
8795607,0,0,11
8949216,0,1,3
9128105,0,0,61
9134079,0,0,1
9180659,0,0,10
9209946,0,2,5
9245216,0,0,6
9544834,0,1,2
9563573,0,0,15
9740704,0,0,1
9823354,0,0,40
9845449,0,0,4
9946133,0,0,3
10162301,0,0,10
10181060,0,0,4
10216256,0,0,1
10218563,0,0,11
10253354,0,0,37
10302000,0,0,10
10385370,0,0,2
10450544,0,0,21
10478285,0,0,1
10595342,0,0,2
10599862,0,0,49
10856494,0,0,2
10868970,0,0,1
10869571,0,0,3
10964000,0,0,2
11024186,0,0,4
11149819,0,1,56
11161178,0,0,27
11207650,0,0,14
11300897,0,0,5
11373749,0,0,85
11403772,0,0,143
11713535,0,0,1
11731710,0,0,19
11794760,0,0,41
11807754,0,0,4
11813637,0,0,13
11940338,0,0,18
11952990,0,0,16
11970504,0,0,18
11978743,0,1,46
12130111,0,0,4
12144171,0,1,21
12195913,0,0,3
12259303,0,0,7
12423315,0,0,1
12529679,0,0,1
12610800,0,0,54
12660489,1,1,1
12760368,0,0,9
12774878,0,0,4
12860805,0,0,4
12985315,0,0,2
13190476,0,0,31
13227113,0,0,1
13336286,0,0,1
13556140,0,0,4
13565651,0,0,36
13802025,0,0,1
13863290,0,0,1
14126086,0,0,16
14165501,0,0,1
14216099,0,0,3
14417857,0,0,6
14465359,0,0,59
14507290,0,0,2
14544587,0,0,17
14551726,0,0,1
14671378,0,0,5
14702137,0,0,5
14711056,0,0,1
14717252,0,0,1
14758912,0,0,1
14906179,0,0,4
14962163,0,0,23
15196746,0,2,18
15221799,0,0,10
15305418,0,0,11
15415372,0,0,5
15564408,0,0,1
15576531,0,1,2
15680561,0,0,1
15701750,0,0,3
15702351,0,0,2
16080105,0,0,1
16081636,0,0,7
16084897,0,0,31
16154372,0,1,21
16167221,0,0,7
16231773,0,0,3
16574348,0,0,1
16645459,0,0,60
16710264,0,0,1
16720641,0,0,1
17017968,0,0,2
17284266,0,1,3
17299575,0,0,1
17414305,0,0,7
17495098,0,0,19
17497581,0,0,11
17530772,0,1,66
17567828,0,0,33
17649444,0,1,9
17995238,0,0,27
18036199,0,0,1
18066817,0,0,1
18074031,0,0,3
18109027,0,0,2
18149166,0,0,8
18263482,0,0,3
18500119,0,0,3
18604016,0,0,1
18869916,0,0,2
18888504,0,0,4
19062398,0,0,2
19085114,0,1,24
19302548,0,0,4
19586574,0,0,5
19696244,0,0,34
20200395,0,0,12
20207081,0,0,3
20362352,0,0,2
20366600,0,0,17
20464587,0,0,12
20566124,0,0,3
20626832,0,0,3
20643309,0,0,1
20683035,0,1,3
20704366,0,0,9
20772968,0,0,105
20914736,0,0,3
21061921,0,0,57
21138994,0,0,1
21316693,0,0,2
21406272,0,0,1
21416874,0,0,1
21535912,0,0,7
21539893,0,0,11
21796349,0,0,1
21861124,0,0,9
21869048,0,0,1
21979395,0,0,1
22003611,0,0,1
22075531,0,0,2
22088241,0,0,3
22283916,0,0,3
22301321,0,0,112
22371742,0,0,37
22470137,0,0,2
22605909,0,0,2
22689481,0,0,1
22865756,0,0,1
23072560,0,0,1
23154676,0,0,3
23225650,0,0,15
23386002,0,0,1
23472549,0,0,1
23492094,0,0,12
23608098,0,0,6
23643789,0,0,3
23672423,0,0,2
