,user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,5250,CitiesSkylines,FootballManager2015,GoatSimulator,Fallout3GameoftheYearEdition,AgeofEmpiresIIHDEdition,Terraria,TeamFortress2,MedievalIITotalWar,FootballManager2014,HalfLife2EpisodeTwo,StarTrekOnline,AmnesiaTheDarkDescent,FootballManager2012,HalfLife2,ChivalryMedievalWarfare,RedFactionGuerrillaSteamEdition,ScribblenautsUnlimited,CompanyofHeroes,Metro2033,NEOTOKYO
1,76767,Portal,CallofDutyModernWarfare3Multiplayer,DayZ,Neverwinter,CallofDutyBlackOpsII,AliensvsPredator,Warface,Warhammer40000DawnofWarIIRetribution,DontStarve,StrongholdKingdoms,CallofDutyGhostsMultiplayer,DeadSpace,Torchlight,StarConflict,HalfLife2EpisodeOne,TheWolfAmongUs,CallofDutyWorldatWar,MetroLastLight,EmpireTotalWar,CallofDutyBlackOpsIIZombies
2,86540,NaturalSelection2,Metro2033,JustCause2,TombRaider,MetroLastLight,CompanyofHeroesNewSteamVersion,AliensvsPredator,LANoire,DeusExHumanRevolutionDirectorsCut,MassEffect,Nosgoth,HAWKEN,PlanetSide2,DeusExInvisibleWar,TheWitcher2AssassinsofKingsEnhancedEdition,SidMeiersCivilizationBeyondEarth,CallofDutyBlackOpsII,FreetoPlay,DarksidersII,Spore
3,229911,CallofDutyModernWarfare3,TheWitcher2AssassinsofKingsEnhancedEdition,Left4Dead2,JustCause2,TheElderScrollsVSkyrim,Portal,Dota2,Thief,Firefall,BatmanArkhamCityGOTY,CitiesSkylines,AssassinsCreedIII,FarCry2,Dishonored,CompanyofHeroes,MedievalIITotalWarKingdoms,Warface,MedievalIITotalWar,DeusExHumanRevolution,BioShock2
4,298950,PlanetSide2,TheWitcher2AssassinsofKingsEnhancedEdition,DarkSoulsPreparetoDieEdition,Dishonored,Arma3,RedOrchestraOstfront4145,Outlast,Audiosurf,Awesomenauts,Starbound,TheWitcherEnhancedEdition,BioShock,HalfLife2EpisodeOne,Warhammer40000DawnofWarIIChaosRising,AssassinsCreedIII,Crysis2MaximumEdition,APBReloaded,StarWarsKnightsoftheOldRepublic,DarksidersII,DivinityOriginalSin
5,547685,CounterStrikeGlobalOffensive,Dota2,Ricochet,Left4Dead,DeathmatchClassic,GarrysMod,CounterStrikeSource,Unturned,KillingFloor,PAYDAYTheHeist,AlienSwarm,RocketLeague,PAYDAY2,InfestationSurvivorStories,CallofDutyWorldatWar,Arma2OperationArrowhead,NapoleonTotalWar,RealmoftheMadGod,NoMoreRoominHell,MarvelHeroes2015
6,554278,HalfLife2EpisodeOne,APBReloaded,TheBindingofIsaac,RocketLeague,HalfLife2EpisodeTwo,RedOrchestraOstfront4145,Arma2,Terraria,Left4Dead,StarWarsKnightsoftheOldRepublic,RisingStormRedOrchestra2Multiplayer,SaintsRow2,GarrysMod,BioShock,JustCause2,SuperMeatBoy,SidMeiersCivilizationIIIComplete,Unturned,PrisonArchitect,DontStarveTogetherBeta
7,561758,CallofDutyModernWarfare2,ChivalryMedievalWarfare,JustCause2,HalfLifeDeathmatchSource,SurgeonSimulator,Dishonored,TheElderScrollsVSkyrim,TombRaider,NaturalSelection2,Torchlight,Spore,Borderlands2,ScribblenautsUnlimited,BioShockInfinite,MetroLastLight,WormsReloaded,SaintsRow2,FINALFANTASYVII,Fallout3GameoftheYearEdition,Nosgoth
8,577614,Unturned,Robocraft,TorchlightII,TheBindingofIsaac,SidMeiersCivilizationV,GarrysMod,CallofDutyModernWarfare3,KerbalSpaceProgram,HalfLifeDeathmatchSource,APBReloaded,KillingFloor,EuroTruckSimulator2,Warframe,GrandTheftAutoV,DarkSoulsPreparetoDieEdition,SpiralKnights,AgeofEmpiresIIHDEdition,Portal,TheBindingofIsaacRebirth,DayZ
9,622362,CounterStrikeGlobalOffensive,Unturned,GarrysMod,AlienSwarm,Left4Dead,CounterStrikeSource,DeathmatchClassic,Left4Dead2,HeroesGenerals,KillingFloor,CallofDutyBlackOps,NoMoreRoominHell,NEOTOKYO,PAYDAYTheHeist,GoatSimulator,RIFT,Trove,TheBindingofIsaac,DontStarveTogetherBeta,SuperMondayNightCombat
10,683019,TeamFortress2,Dishonored,RomeTotalWar,Fallout4,FarCry3,TheWalkingDead,Fallout3GameoftheYearEdition,SouthParkTheStickofTruth,Borderlands,MetroLastLight,MagickaWizardWars,CastleCrashers,CallofDutyBlackOpsMultiplayer,BioShockInfinite,TheWitcher2AssassinsofKingsEnhancedEdition,RAGE,Neverwinter,BattlefieldBadCompany2,SpaceChem,NaturalSelection2
11,748719,CounterStrikeGlobalOffensive,Left4Dead,PAYDAYTheHeist,RocketLeague,GarrysMod,DeathmatchClassic,CallofDutyWorldatWar,AgeofChivalry,DayZ,RealmoftheMadGod,Defiance,AlienSwarm,NapoleonTotalWar,PrisonArchitect,Sanctum2,CounterStrikeSource,Arma2,EmpireTotalWar,DeadIslandEpidemic,StarWarsKnightsoftheOldRepublic
12,871990,DeathmatchClassic,APBReloaded,XCOMEnemyUnknown,TotalWarROMEIIEmperorEdition,SidMeiersCivilizationBeyondEarth,PrisonArchitect,CompanyofHeroesNewSteamVersion,MassEffect,CitiesSkylines,HalfLifeOpposingForce,MetroLastLight,CallofDutyModernWarfare3Multiplayer,Metro2033,Crysis,Unturned,SeriousSamHDTheSecondEncounter,MedievalIITotalWar,AssassinsCreedIII,DirtyBomb,TheWitcher2AssassinsofKingsEnhancedEdition
13,948368,Left4Dead,CounterStrikeGlobalOffensive,DeathmatchClassic,AlienSwarm,PAYDAYTheHeist,RocketLeague,GarrysMod,AgeofChivalry,APBReloaded,Arma2OperationArrowhead,RealmoftheMadGod,TeamFortress2,CallofDutyWorldatWar,DontStarveTogetherBeta,CounterStrikeSource,Trove,NapoleonTotalWar,Dota2,TheWitcher3WildHunt,DeadIslandEpidemic
14,975449,Dota2,PAYDAY2,Ricochet,CallofDutyModernWarfare3,CallofDutyModernWarfare2,Dishonored,Loadout,AssassinsCreedIII,Warframe,Magicka,ChivalryMedievalWarfare,DCUniverseOnline,CastleCrashers,CompanyofHeroes2,TitanQuest,TotalWarROMEIIEmperorEdition,TheWitcherEnhancedEdition,BioShockInfinite,TorchlightII,CompanyofHeroesNewSteamVersion
15,994489,DeathmatchClassic,Left4Dead,RocketLeague,PAYDAYTheHeist,AlienSwarm,GarrysMod,HeroesGenerals,RealmoftheMadGod,TheBindingofIsaac,NoMoreRoominHell,AgeofChivalry,SuperMondayNightCombat,CallofDutyWorldatWar,ZombiePanicSource,KillingFloor,TeamFortress2,Arma2,Sanctum2,SeriousSam3BFE,TheWitcher3WildHunt
16,1024319,CounterStrike,PathofExile,Portal,CounterStrikeGlobalOffensive,NaturalSelection2,HalfLife2,Terraria,SidMeiersCivilizationV,Rust,PAYDAYTheHeist,Unturned,WarThunder,Besiege,KillingFloor,H1Z1,DontStarve,CounterStrikeConditionZero,GoatSimulator,Starbound,Borderlands2
17,1072465,CallofDutyBlackOpsMultiplayer,NaturalSelection2,CounterStrikeGlobalOffensive,Ricochet,RedOrchestraOstfront4145,Left4Dead,TotalWarSHOGUN2,SurgeonSimulator,Borderlands,Hitman2SilentAssassin,EuroTruckSimulator2,Left4Dead2,DirtyBomb,CastleCrashers,HeroesGenerals,H1Z1,Trove,DungeonDefendersII,SpiralKnights,ARKSurvivalEvolved
18,1129452,DontStarve,CounterStrike,MarvelHeroes2015,CastleCrashers,Robocraft,Dota2,NaturalSelection2,CallofDutyBlackOps,TheElderScrollsVSkyrim,TERA,DeusExHumanRevolution,Ricochet,CounterStrikeGlobalOffensive,PAYDAY2,SpiralKnights,OrcsMustDie2,EverlastingSummer,CrusaderKingsII,AmericasArmyProvingGrounds,Warhammer40000DawnofWarIIRetribution
19,1364546,CounterStrikeGlobalOffensive,Ricochet,PAYDAY2,Dota2,CounterStrikeSource,AmericasArmyProvingGrounds,SeriousSam3BFE,InfestationSurvivorStories,CallofDutyBlackOps,CastleCrashers,Unturned,DontStarve,AceofSpades,Sanctum2,NoMoreRoominHell,HeroesGenerals,KillingFloor,Aftermath,TheForest,DinoDDay
20,1423371,TeamFortress2,OrcsMustDie,APBReloaded,WarThunder,Besiege,RIFT,CallofDutyBlackOps,SpaceEngineers,H1Z1TestServer,KerbalSpaceProgram,Anno2070,WormsRevolution,CallofDutyBlackOpsIIZombies,DeusExInvisibleWar,Spore,DayofDefeat,StarWarsKnightsoftheOldRepublic,DeusExGameoftheYearEdition,ArcheAge,EuroTruckSimulator2
21,1612666,TheBindingofIsaac,BioShock,Borderlands2,TeamFortress2,HalfLifeDeathmatchSource,Dishonored,Crysis2MaximumEdition,HalfLife2EpisodeOne,Terraria,JustCause2,ChivalryMedievalWarfare,APBReloaded,GarrysMod,BlacklightRetribution,Metro2033,MarvelHeroes2015,FarCry3,DeusExGameoftheYearEdition,SourceFilmmaker,SaintsRow2
22,1834453,CallofDutyModernWarfare2,FarCry3,AliensvsPredator,CallofDutyAdvancedWarfareMultiplayer,Borderlands2,Portal,CallofDutyModernWarfare3Multiplayer,Crysis2MaximumEdition,Thief,Starbound,Besiege,CounterStrikeConditionZero,TheElderScrollsVSkyrim,Warface,TombRaider,CallofDutyGhostsMultiplayer,MedievalIITotalWar,Firefall,MaxPayne3,CallofDutyBlackOpsIIMultiplayer
23,1936551,Left4Dead,Robocraft,AgeofEmpiresIIHDEdition,DontStarve,FootballManager2015,FootballManager2014,ClickerHeroes,DCUniverseOnline,TheElderScrollsVSkyrim,CallofDutyModernWarfare3,CallofDutyModernWarfare3Multiplayer,HitmanAbsolution,StarWarsKnightsoftheOldRepublic,MedievalIITotalWar,CallofDuty4ModernWarfare,Portal,Spore,TeamFortress2,BattlefieldBadCompany2,Warface
24,1950243,DontStarve,Dota2,Warface,Unturned,TotalWarROMEIIEmperorEdition,DCUniverseOnline,Terraria,CallofDutyModernWarfare2Multiplayer,Loadout,CastleCrashers,SidMeiersCivilizationV,SniperEliteV2,CallofDutyBlackOps,CitiesSkylines,Robocraft,Warhammer40000DawnofWarIIRetribution,TeamFortressClassic,Nosgoth,CallofDutyBlackOpsII,HitmanAbsolution
