user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
93413084,0,2,3
32125590,0,0,5
95037089,0,1,3
105877396,0,6,21
135179790,1,1,1
67694595,0,6,20
214299751,0,0,3
7431946,0,5,7
81170946,0,9,31
23337959,0,1,5
159114904,0,1,8
88579585,0,2,62
86469479,0,0,105
86912006,0,1,68
24469287,0,1,93
143877335,0,6,22
48798067,0,0,83
44472980,0,7,58
25831175,0,0,2
267235316,0,0,2
96588736,0,7,19
36978196,0,4,7
294848255,1,1,1
76892907,0,5,107
75598925,0,0,2
9946133,0,1,3
89531096,1,1,1
114617787,0,2,16
975449,0,7,68
77980915,0,8,26
38523044,0,0,1
58345543,0,1,119
298884520,0,1,2
190060278,0,4,11
110934550,1,1,1
180901075,0,3,39
2531540,0,1,3
85497862,0,2,13
96014467,0,8,12
174002551,0,4,8
13190476,0,2,31
17567828,0,14,33
144580725,0,6,13
44482198,0,10,18
96282673,0,4,12
101725007,0,6,9
51822361,0,4,40
212915541,0,2,5
285596456,0,0,1
14962163,0,8,23
11970504,0,9,18
116912767,0,6,7
131386705,0,4,9
101690993,0,6,32
138906315,1,1,1
199637398,1,1,1
135400225,0,4,44
170460109,0,3,15
8585433,0,3,64
246626691,0,0,3
51557405,0,0,58
4064412,0,1,3
85673716,0,5,6
119239620,0,8,14
115037563,0,9,15
210744685,0,2,8
14465359,0,9,59
10253354,0,11,37
172135798,0,1,3
39622853,0,7,30
83770731,0,8,32
124884511,0,0,1
57603447,0,5,31
80128229,0,1,29
49050405,0,6,15
27279261,0,9,35
105503045,0,4,26
73726855,0,1,32
107452765,0,10,50
182038346,0,0,2
198913824,1,1,1
24555705,0,0,1
100311267,0,4,25
683019,0,0,2
219466905,0,0,20
153076975,0,4,10
204795948,0,1,21
163162333,0,6,9
93644606,0,7,15
53875128,0,8,86
67579257,0,9,33
127335438,0,7,21
74521316,0,1,3
215413462,1,1,1
81943620,0,3,57
150882304,0,2,11
72842694,0,9,45
44314169,0,9,40
194432540,0,4,7
122026623,0,10,65
92612763,0,4,20
297650159,0,1,2
36791999,0,4,5
99110207,0,1,2
116876958,0,0,79
125472731,0,0,3
130280718,0,6,9
221702697,1,1,1
111529766,0,1,3
86041729,0,6,26
58393019,0,1,2
287706524,1,1,1
253549183,1,1,1
152585209,0,5,18
10599862,0,0,49
23672423,0,1,2
7203603,0,2,9
106986812,0,3,10
10450544,0,7,21
28731346,0,1,2
34177747,0,7,30
2259650,0,5,39
35701646,0,7,35
200817099,0,0,6
30061970,0,6,23
161366228,0,6,13
184314651,0,4,6
73835640,0,7,33
94428876,0,1,2
97298878,0,2,15
221775355,1,1,1
187463594,0,7,36
34901647,0,7,29
55906572,0,4,43
197157593,1,1,1
142775542,0,3,11
166081897,1,1,1
154230933,0,5,47
75155353,0,3,18
110546460,0,0,1
153148942,0,2,6
102552233,0,2,5
212466515,0,5,7
302708380,0,1,2
137334839,0,4,6
86733992,0,4,6
10162301,0,6,10
243664576,0,4,17
142999522,0,0,4
39798081,1,2,2
92593907,0,9,31
297650024,0,1,2
160469883,0,2,3
33013552,0,9,111
83878895,0,1,2
207915392,0,2,5
21061921,0,5,57
55761025,0,4,10
144071257,0,5,18
30246419,0,5,151
29736184,0,0,3
58905429,0,6,82
45118807,1,3,3
80630217,0,5,15
87694960,0,1,56
36557643,0,11,77
92914917,0,6,40
23078763,0,0,1
198346312,0,2,6
87907200,0,3,7
75092930,0,1,2
54310644,0,2,23
303525289,0,0,1
65754991,0,5,30
61632730,0,8,25
296260221,0,2,4
185517910,1,1,1
198398830,1,1,1
11403772,0,2,143
257200017,0,1,3
33865373,0,9,152
117531196,0,7,22
49063269,0,2,6
17530772,0,0,66
561758,0,11,29
211363179,0,1,2
102825821,0,8,33
149331941,0,2,3
23472549,1,1,1
118852041,0,5,32
247891137,0,0,1
30912860,0,2,24
61046224,0,0,3
122094388,0,5,24
91859894,0,6,15
98312003,0,1,8
99077905,0,12,38
108595389,0,2,6
138941587,0,0,82
29764828,0,2,4
58223726,1,1,1
64369759,0,7,19
219361406,0,0,1
20772968,0,4,105
134322141,0,10,38
63157803,0,7,17
79111585,0,0,2
111212436,0,4,5
139804310,1,1,1
62078957,0,1,5
71510748,0,8,42
89732768,0,5,10
92663477,0,5,13
102270213,0,3,5
127628725,0,8,24
86481908,0,11,25
62990992,0,0,216
36546868,0,5,75
32644336,0,6,10
3979930,0,2,10
289540058,0,0,1
68540434,0,0,4
64787956,0,6,106
60859695,0,1,41
20200395,0,5,12
96149161,1,1,1
170201716,0,7,13
83671083,0,5,8
33651880,0,7,50
89005236,0,3,6
97614578,0,7,9
122956129,1,4,4
158974308,0,2,5
54761333,0,5,12
202625117,1,1,1
97883175,1,1,1
158173228,1,1,1
205479294,0,1,4
47672756,0,4,11
239511574,1,1,1
172434236,0,2,6
37827989,0,2,5
154014392,0,5,10
165216496,0,5,12
60608576,0,5,40
265859320,1,2,2
14507290,1,2,2
40080833,0,1,6
8795607,0,4,11
124059151,0,2,18
47384303,0,5,26
127426141,0,1,6
11161178,0,8,27
132300630,0,7,17
234108053,0,3,6
216088282,0,1,19
155119411,1,1,1
79073449,0,8,21
54888069,0,0,1
22301321,0,7,112
144347801,0,1,3
14711056,0,0,1
91293844,0,2,8
42657809,0,2,32
62545742,0,3,5
21539893,0,4,11
99255590,0,1,3
41559627,0,2,30
154687199,0,1,5
26762388,0,2,48
27925556,0,1,2
34919318,0,8,26
103624897,0,3,4
161772384,0,1,4
11149819,0,2,56
200759485,0,2,3
106259770,0,1,13
11794760,0,7,41
194619752,1,1,1
52672853,1,1,1
12130111,0,1,4
30425578,0,7,38
304788598,1,1,1
240551525,0,3,5
172518437,0,6,19
112939816,0,2,3
76451157,0,3,21
65145468,0,6,17
174698259,1,1,1
297510921,0,2,7
38465050,0,6,21
59005471,0,5,10
13565651,0,9,36
244445520,0,2,4
43684632,0,6,38
50818751,0,7,50
166669789,0,9,22
24721232,0,5,86
46172640,0,0,1
70915652,0,4,11
196188671,0,0,1
81258000,0,2,8
234024191,0,2,5
57541240,1,1,1
32710856,0,2,7
220525938,0,0,2
45592640,0,4,13
222194703,0,0,1
127072755,0,7,25
164820245,0,2,10
215844562,0,0,2
53097340,0,8,23
54637394,0,9,27
150909485,0,2,3
189129966,0,1,3
59756932,0,5,6
53898495,0,9,35
55367062,0,7,34
16645459,0,8,60
296439514,0,0,2
156615447,0,4,8
131227682,0,3,4
114727578,0,2,17
80494893,0,7,28
106806146,0,2,6
73564778,0,5,19
94120095,0,1,4
144455775,0,1,2
115958331,0,2,3
141160698,0,2,5
199210319,0,0,2
137460095,0,0,12
176771895,0,1,27
75011941,0,1,2
49350285,0,3,4
76027799,0,2,3
139016142,0,3,4
51699341,1,2,2
254196196,0,1,2
56038151,0,9,37
108264287,0,5,13
78309377,0,9,46
14671378,0,1,5
241514787,0,1,2
125682446,0,4,10
135177440,1,1,1
95996939,0,1,4
105384518,0,5,14
30440303,0,7,48
37294596,0,0,2
97604502,1,1,1
122658341,0,2,3
81160212,0,5,32
26465134,0,7,14
129117376,0,8,27
66596291,0,8,12
173799068,0,1,2
73518199,0,6,22
8949216,0,2,3
137610845,0,5,7
55426012,0,7,58
190861612,1,1,1
12144171,0,10,21
84883272,0,2,5
166242802,1,1,1
153428440,1,1,1
37723786,0,8,20
224754050,0,9,12
28886158,0,0,1
9759887,0,0,1
265619532,0,0,1
37422528,0,11,40
14126086,0,0,16
65958466,0,4,30
20266830,0,0,1
12610800,0,7,54
58931437,0,4,40
128790593,1,3,3
17497581,0,7,11
114912926,0,0,2
153956921,0,4,19
157467012,1,1,1
154145611,0,3,5
202843172,0,1,3
46405162,1,2,2
110881546,0,3,11
180780478,1,1,1
6717871,0,4,17
100894366,0,4,18
99264709,0,7,33
106796307,0,7,14
210018093,0,2,5
82352462,0,3,21
32126281,0,8,28
161816812,0,5,12
116617462,0,5,11
42061089,0,10,20
131785763,0,4,15
124556386,0,6,16
106980036,0,7,12
9180659,0,7,10
185849750,1,1,1
69954842,0,1,70
179279152,1,1,1
111754806,0,10,27
24632218,0,4,36
94708312,1,2,2
42363887,0,3,5
189734107,0,3,30
33706322,0,5,27
33778112,0,1,5
84455820,0,3,24
289244540,0,3,6
83849502,0,2,31
108950666,0,2,7
167118460,0,5,9
69180564,1,2,2
131130328,0,0,4
100630947,0,1,3
50744279,0,8,16
131444737,0,7,11
136554467,1,1,1
71390526,0,2,21
1612666,0,4,5
148362155,0,8,49
240145967,0,0,1
197279094,1,1,1
257449387,0,2,4
186597710,1,1,1
306042038,0,1,2
126269125,0,6,13
64023574,0,4,14
212494115,0,0,1
302228798,1,1,1
58029555,1,1,1
184694766,0,5,8
200673341,0,7,20
196066421,0,3,6
135879753,0,1,3
61676491,0,4,41
65398650,0,1,62
1950243,0,7,12
166374827,0,2,3
182491331,1,1,1
112849197,0,2,4
127272741,0,5,18
31669242,0,2,63
139673932,0,2,3
150397316,0,1,6
60343142,0,1,2
9823354,0,11,40
156787969,0,0,2
156379077,0,2,6
86499586,0,3,4
224396593,1,1,1
50888871,0,0,2
86338111,0,7,13
32965833,0,0,3
101656933,0,3,4
88271258,1,2,2
47457723,0,2,107
103559489,1,1,1
222008249,0,1,3
113227222,0,4,5
125141344,0,3,4
85210874,0,4,13
158481258,0,2,4
152291766,0,1,2
86738567,0,4,6
48149238,0,2,9
67083031,0,3,4
101596530,0,1,18
174923254,0,2,12
208900216,0,4,5
301087793,1,1,1
14216099,0,0,3
12259303,0,1,7
2083767,0,6,12
12529679,1,1,1
253469905,0,1,2
117727921,1,1,1
108872482,0,0,1
261290656,1,1,1
11952990,0,5,16
31187179,0,8,22
45094639,0,2,5
216217925,0,1,3
195607832,0,2,10
88775181,0,5,10
164511211,0,4,13
7907686,0,11,28
157333988,1,2,2
203831787,0,1,2
54999247,0,2,3
31559824,0,0,1
155881626,0,3,11
188631532,0,0,5
83497449,0,5,9
9128105,0,3,61
120164786,1,2,2
21535912,0,1,7
138938057,0,0,1
202427012,0,2,5
64514291,0,4,10
287264958,0,2,4
242549338,0,0,1
206214102,0,2,3
48028873,0,7,33
90711776,0,3,5
87040683,0,2,6
208071792,1,1,1
79155765,0,1,3
213427457,0,1,2
303128637,1,1,1
182422786,1,3,3
157275758,1,5,5
35640500,0,0,1
192822732,1,1,1
136258332,1,1,1
298950,0,8,48
157636450,0,4,34
110650041,0,2,3
46028967,0,10,46
227863185,0,0,5
93275329,0,10,22
24258916,0,0,1
239497677,0,0,2
158608850,0,4,7
302363079,1,2,2
88152309,0,2,3
64973908,0,6,34
121133260,0,0,2
229911,0,6,8
171067153,0,8,22
190191843,0,7,11
103731895,0,5,13
39037163,0,6,26
88035166,0,7,27
225176638,0,2,5
248444377,0,3,19
242523654,0,3,5
71777065,0,7,23
130324181,0,4,8
20366600,0,4,17
148264060,1,2,2
77194239,0,9,30
133439311,1,1,1
83123832,1,1,1
231333981,0,1,2
57103808,0,10,20
244184827,1,1,1
100519466,0,5,6
71888942,0,1,20
69946630,1,2,2
3449240,0,7,22
102111851,0,1,2
103260848,0,9,11
132748085,0,5,18
181693930,0,0,1
135244036,0,4,17
202742019,0,1,2
56333620,0,5,8
55745376,1,1,1
120740511,1,1,1
75064242,1,2,2
261281192,0,0,2
127344335,0,5,13
105277989,0,0,4
140086587,0,1,2
11978743,0,8,46
105186824,1,1,1
114024939,1,1,1
203800963,0,2,14
88883891,0,3,10
170068207,0,2,12
113557935,0,0,2
10302000,0,4,10
134516625,0,1,17
147602462,0,5,27
201800994,0,2,3
166863117,0,5,38
152956403,0,3,7
183490713,1,4,4
142408262,1,2,2
212166635,1,1,1
80189887,0,8,32
61506388,0,6,20
5600822,0,0,3
273741196,1,1,1
231060378,1,3,3
173003298,1,1,1
100741663,0,4,6
5270060,0,1,3
162319690,0,0,2
216688763,0,2,3
190305835,0,4,7
119909634,0,2,7
171049445,1,1,1
73826669,1,1,1
156343742,0,0,1
36404933,0,6,73
65392764,0,1,2
110107925,0,1,6
56002861,0,1,3
53245953,0,2,8
110824765,0,7,9
186504598,0,0,1
218585765,0,0,2
156426681,0,3,4
53621752,0,2,3
108750879,1,3,3
140408017,0,4,8
300177729,1,1,1
47384202,0,1,43
111316830,0,0,1
46637811,0,9,25
203117866,0,2,3
175447188,0,6,11
295479185,1,1,1
71875007,0,2,4
58297398,0,3,9
62985928,0,3,8
37490443,1,6,6
294620986,0,3,6
149920224,0,7,12
99616757,0,2,16
7249363,0,0,2
100719181,0,3,11
131348564,0,7,23
130312302,0,6,15
107950496,1,1,1
70408902,0,10,46
88344296,0,2,7
172877288,0,1,2
254814380,0,2,3
202092286,1,1,1
163924362,1,1,1
59825286,0,5,82
235185786,1,1,1
168539881,0,5,8
69009454,0,12,38
7015471,0,4,10
189858084,0,4,17
103371488,0,4,14
162081645,0,4,6
159524722,1,2,2
203838394,0,3,6
87201181,0,6,15
72627862,0,2,8
45411694,0,5,10
118541865,0,4,32
19085114,0,9,24
170485590,0,5,19
53091150,0,8,40
11504910,0,1,2
239544929,0,0,3
21261374,0,0,1
86055705,0,8,48
210576042,0,1,4
91690667,0,7,23
115571373,0,1,2
225848614,0,1,3
47291376,0,3,5
300708628,1,1,1
94698408,1,1,1
76373413,0,0,1
166385573,0,0,3
213720494,0,3,5
194670621,0,4,7
158363887,0,0,1
145243748,0,4,7
113423671,0,3,8
197652539,0,4,5
26808868,0,3,10
59382844,0,6,11
241210827,1,2,2
24366790,0,8,15
107984181,0,1,2
293978986,1,1,1
221694858,0,3,5
71335402,0,7,11
43955374,0,2,39
20914736,0,1,3
77214425,0,1,42
249626280,0,1,2
285704870,1,1,1
65229865,0,3,12
146007471,0,2,7
155919035,0,5,40
115632831,0,5,28
165240612,1,3,3
16167221,0,4,7
104870123,0,5,14
74772820,0,8,20
303007171,0,2,10
256613211,0,2,3
276057148,0,5,6
91085389,0,2,3
44545959,0,5,22
157811997,0,2,4
58761868,0,7,10
39146470,0,0,11
199908506,1,1,1
152419713,0,5,16
154230723,0,5,73
40212239,0,5,63
83625754,0,1,6
220602833,0,1,3
145825155,1,2,2
136866564,1,3,3
36271979,0,2,3
48525807,0,6,28
284452410,0,0,1
150135487,0,1,5
81672131,0,5,7
285860790,0,1,4
145117004,0,1,4
128470551,0,5,7
128173430,0,0,2
196358260,0,0,1
66950079,0,6,15
96696864,0,0,1
49893565,0,1,90
30855460,0,0,1
44370809,0,5,7
112994491,1,3,3
50769696,1,6,6
215160630,1,6,6
129522238,0,1,2
83928705,1,1,1
48386574,0,5,9
308971716,1,1,1
176563564,0,0,1
208616727,1,2,2
123696203,0,5,8
111182405,0,2,7
57770056,0,8,25
14417857,0,5,6
294155812,1,1,1
43160799,0,3,8
177050329,0,1,4
43913966,0,9,33
207830797,0,6,17
12660489,0,0,1
92393218,0,7,23
24919113,0,1,6
182399789,0,8,22
43462452,0,1,2
170904528,1,1,1
101122584,1,1,1
95911580,1,4,4
104120883,0,5,8
100993239,0,0,7
170215786,0,4,5
63615483,0,5,22
93812486,0,2,3
116831291,0,1,2
276225812,1,1,1
277984366,0,0,1
268487512,0,1,3
9563573,0,4,15
36502549,0,4,9
148322156,0,1,5
288916596,0,0,1
39834113,0,3,8
11813637,0,5,13
105243827,0,6,16
160922242,1,4,4
59662830,0,8,38
49462664,0,1,43
89523414,0,5,12
210727350,0,1,2
154485753,0,2,3
99374297,0,4,15
24011187,0,4,7
178574781,0,1,2
247313879,0,2,5
192526458,0,0,3
184508601,0,0,3
16231773,0,2,3
224070533,0,6,14
17495098,0,7,19
129114153,0,0,3
70398582,0,2,7
74161385,0,1,6
151015947,0,4,12
5387470,0,6,18
101878879,0,3,17
58057627,0,3,10
246908963,0,1,2
44147409,0,0,2
185258131,0,4,12
67492611,0,4,9
160461131,1,2,2
15221799,0,5,10
66650717,0,5,22
210905793,0,0,17
71527252,0,5,31
164296368,0,1,4
62878249,0,9,33
202794882,0,0,1
66615366,0,6,15
66255019,0,7,16
202140438,0,2,5
49624770,0,2,14
103093573,0,1,2
150137344,1,4,4
29302014,0,4,6
58431944,0,5,9
209772097,0,3,12
