,user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,93413084,The Binding of Isaac,Amnesia The Dark Descent,Dishonored,Robocraft,Chivalry Medieval Warfare,BattleBlock Theater,Awesomenauts,Scribblenauts Unlimited,Toribash,Borderlands The Pre-Sequel,Duke Nukem Forever,Gear Up,Dirty Bomb,Torchlight,FreeStyle2 Street Basketball,Defense Grid The Awakening,"Pirates, Vikings, & Knights II",GRID,Sanctum,Legend of Grimrock
1,32125590,Call of Duty Modern Warfare 2,Borderlands 2,Terraria,Arma 3,Team Fortress 2,Counter-Strike Condition Zero,Counter-Strike Source,Cities Skylines,Sid Meier's Civilization V,Portal 2,PAYDAY 2,Day of Defeat Source,Mirror's Edge,Call of Duty Black Ops II - Multiplayer,Insurgency,Grand Theft Auto IV,Left 4 Dead,METAL GEAR RISING REVENGEANCE,Half-Life 2,Natural Selection 2
2,95037089,Grand Theft Auto V,Arma 2 Operation Arrowhead,Euro Truck Simulator 2,Counter-Strike,PAYDAY 2,Counter-Strike Source,Prison Architect,Arma 3,Saints Row IV,Assassin's Creed Syndicate,Left 4 Dead,H1Z1,Counter-Strike Condition Zero,Stronghold 3,Counter-Strike Global Offensive,Call of Duty Modern Warfare 2,Day of Defeat,Call of Duty Black Ops - Multiplayer,Vampire The Masquerade - Bloodlines,Besiege
3,105877396,Victoria II,Counter-Strike Source,Galactic Civilizations II Ultimate Edition,The Forest,Terraria,Hearts of Iron III,Nosgoth,Banished,Pillars of Eternity,Borderlands 2,Batman Arkham Origins,Mitos.is The Game,Grand Theft Auto V,Far Cry 4,Project Zomboid,Orcs Must Die! 2,Warface,Orcs Must Die!,Tropico 4,PAYDAY 2
4,135179790,Call of Duty Modern Warfare 2 - Multiplayer,Left 4 Dead 2,Unturned,Robocraft,Call of Duty Black Ops,Arma 3,Realm of the Mad God,Space Engineers,Saints Row IV,Call of Duty Modern Warfare 2,Insurgency,Rust,RollerCoaster Tycoon 3 Platinum!,Awesomenauts,Borderlands 2,Alien Swarm,Football Manager 2015,Euro Truck Simulator 2,Counter-Strike Nexon Zombies,ORION Prelude
5,67694595,Sniper Elite V2,Dead Island,Dota 2,Titan Quest,Dying Light,FTL Faster Than Light,Unturned,Left 4 Dead 2,Tom Clancy's Ghost Recon Phantoms - EU,Neverwinter,Trine 2,Awesomenauts,Warframe,Path of Exile,Counter-Strike,Defiance,Company of Heroes (New Steam Version),Serious Sam HD The First Encounter,"Warhammer 40,000 Dawn of War  Soulstorm",theHunter
6,214299751,Grand Theft Auto V,Day of Defeat,Arma 2 Operation Arrowhead,PAYDAY 2,Rising Storm/Red Orchestra 2 Multiplayer,Insurgency,Assassin's Creed Syndicate,Call of Duty Black Ops - Multiplayer,H1Z1,Deus Ex Human Revolution,Spiral Knights,Arma 3,Sniper Ghost Warrior,Clicker Heroes,BLOCKADE 3D,Day of Defeat Source,Wargame Red Dragon,Call of Duty Modern Warfare 2 - Multiplayer,Construction-Simulator 2015,Left 4 Dead
7,7431946,Unturned,Borderlands The Pre-Sequel,Sid Meier's Civilization Beyond Earth,Dungeon Defenders II,Borderlands,Stronghold 3,Crysis 2 Maximum Edition,Age of Mythology Extended Edition,Half-Life 2 Deathmatch,Don't Starve,Mark of the Ninja,"Warhammer 40,000 Dawn of War  Soulstorm",Counter-Strike Source,Darkest Dungeon,Trove,This War of Mine,Stranded Deep,The Escapists,Saints Row IV,Game Dev Tycoon
8,81170946,Chivalry Medieval Warfare,Trine 2,Half-Life 2,Alien Swarm,Batman Arkham Origins,Far Cry 3,Portal 2,Portal,Saints Row IV,SimCity 4 Deluxe,Killing Floor,Awesomenauts,The Binding of Isaac,FTL Faster Than Light,BioShock 2,Batman Arkham City GOTY,Mass Effect,Town of Salem,Team Fortress 2,Garry's Mod
9,23337959,Half-Life,Portal,Alien Swarm,"Warhammer 40,000 Dawn of War II",Loadout,Half-Life 2 Episode Two,Counter-Strike Condition Zero Deleted Scenes,Amnesia The Dark Descent,Bastion,Assassin's Creed Brotherhood,Synergy,Half-Life 2 Lost Coast,Audiosurf,"Warhammer 40,000 Dawn of War II  Retribution",Dungeon Defenders,Napoleon Total War,BioShock 2,The Mighty Quest For Epic Loot,Undertale,The Binding of Isaac
