app_id,status,name,type,required_age,platforms,metacritic_score,category_ids,categories,genre_ids,genres,recommendations
5,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,True,Counter-Strike,game,0,windows:mac:linux,88,1:49:36:37:8,Multi-player:PvP:Online PvP:Shared/Split Screen PvP:Valve Anti-Cheat enabled,1,Action,94916
20,True,Team Fortress Classic,game,0,windows:mac:linux,NA,1:49:36:37:8:44,Multi-player:PvP:Online PvP:Shared/Split Screen PvP:Valve Anti-Cheat enabled:Remote Play Together,1,Action,3597
30,True,Day of Defeat,game,0,windows:mac:linux,79,1:8,Multi-player:Valve Anti-Cheat enabled,1,Action,2669
40,True,Deathmatch Classic,game,0,windows:mac:linux,NA,1:49:36:37:8:44,Multi-player:PvP:Online PvP:Shared/Split Screen PvP:Valve Anti-Cheat enabled:Remote Play Together,1,Action,1244
50,True,Half-Life: Opposing Force,game,0,windows:mac:linux,NA,2:1:8:44,Single-player:Multi-player:Valve Anti-Cheat enabled:Remote Play Together,1,Action,7560
60,True,Ricochet,game,0,windows:mac:linux,NA,1:49:36:8,Multi-player:PvP:Online PvP:Valve Anti-Cheat enabled,1,Action,2605
70,True,Half-Life,game,0,windows:mac:linux,96,2:1:49:36:23:8:41:42:44,Single-player:Multi-player:PvP:Online PvP:Steam Cloud:Valve Anti-Cheat enabled:Remote Play on Phone:Remote Play on Tablet:Remote Play Together,1,Action,39077
80,True,Counter-Strike: Condition Zero,game,0,windows:mac:linux,65,2:1:8,Single-player:Multi-player:Valve Anti-Cheat enabled,1,Action,12242
90,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,True,Codename Gordon,advertising,0,windows,NA,2,Single-player,23,Indie,NA
100,True,Counter-Strike: Condition Zero,game,0,windows:mac:linux,65,2:1:8,Single-player:Multi-player:Valve Anti-Cheat enabled,1,Action,12242
130,True,Half-Life: Blue Shift,game,0,windows:mac:linux,71,2:44,Single-player:Remote Play Together,1,Action,5715
150,True,Counter-Strike Beta,advertising,0,windows,NA,NA,NA,1,Action,NA
205,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,True,Half-Life 2: Demo,demo,0,windows:mac,96,2:10,Single-player:Game demo,1,Action,NA
220,True,Half-Life 2,game,0,windows:mac:linux,96,2:22:29:13:18:23:16:41:42:44,Single-player:Steam Achievements:Steam Trading Cards:Captions available:Partial Controller Support:Steam Cloud:Includes Source SDK:Remote Play on Phone:Remote Play on Tablet:Remote Play Together,1,Action,78458
240,True,Counter-Strike: Source,game,0,windows:mac:linux,88,1:27:22:23:8:15:16,Multi-player:Cross-Platform Multiplayer:Steam Achievements:Steam Cloud:Valve Anti-Cheat enabled:Stats:Includes Source SDK,1,Action,70242
260,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,True,Half-Life: Source,game,0,windows:mac:linux,NA,2:44,Single-player:Remote Play Together,1,Action,6529
300,True,Day of Defeat: Source,game,0,windows:mac:linux,80,1:27:22:29:8:15:16,Multi-player:Cross-Platform Multiplayer:Steam Achievements:Steam Trading Cards:Valve Anti-Cheat enabled:Stats:Includes Source SDK,1,Action,9298
304,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,True,Half-Life 2: Deathmatch,game,0,windows:mac:linux,NA,1:8:16,Multi-player:Valve Anti-Cheat enabled:Includes Source SDK,1,Action,5491
