app_id,status,review_score,review_score_desc,total_positive,total_negative,total_reviews
5,True,0,No user reviews,0,0,0
7,True,0,No user reviews,0,0,0
8,True,0,No user reviews,0,0,0
10,True,9,Overwhelmingly Positive,19908,753,20661
20,True,8,Very Positive,1889,385,2274
30,True,8,Very Positive,1169,169,1338
40,True,8,Very Positive,548,131,679
50,True,9,Overwhelmingly Positive,4047,192,4239
60,True,8,Very Positive,1420,284,1704
70,True,9,Overwhelmingly Positive,18643,735,19378
80,True,8,Very Positive,3777,420,4197
90,True,0,No user reviews,0,0,0
92,True,0,No user reviews,0,0,0
100,True,8,Very Positive,293,22,315
130,True,8,Very Positive,2897,311,3208
150,True,0,No user reviews,0,0,0
205,True,0,No user reviews,0,0,0
210,True,0,No user reviews,0,0,0
211,True,0,No user reviews,0,0,0
215,True,0,No user reviews,0,0,0
218,True,0,No user reviews,0,0,0
219,True,0,No user reviews,0,0,0
220,True,9,Overwhelmingly Positive,34040,1123,35163
240,True,9,Overwhelmingly Positive,24541,1192,25733
260,True,0,No user reviews,0,0,0
280,True,6,Mostly Positive,2535,971,3506
300,True,8,Very Positive,3995,472,4467
304,True,0,No user reviews,0,0,0
310,True,0,No user reviews,0,0,0
320,True,8,Very Positive,2178,317,2495
340,True,8,Very Positive,2639,418,3057
360,True,6,Mostly Positive,684,230,914
364,True,0,No user reviews,0,0,0
380,True,8,Very Positive,4391,255,4646
400,True,9,Overwhelmingly Positive,30233,452,30685
410,True,0,No user reviews,0,0,0
420,True,9,Overwhelmingly Positive,7486,317,7803
440,True,8,Very Positive,5318,413,5731
456,True,0,No user reviews,0,0,0
457,True,0,No user reviews,0,0,0
458,True,0,No user reviews,0,0,0
459,True,0,No user reviews,0,0,0
480,True,0,No user reviews,0,0,0
500,True,8,Very Positive,8025,469,8494
510,True,0,No user reviews,0,0,0
513,True,0,No user reviews,0,0,0
520,True,0,No user reviews,0,0,0
530,True,0,No user reviews,0,0,0
540,True,0,No user reviews,0,0,0
550,True,9,Overwhelmingly Positive,85465,2697,88162
560,True,0,No user reviews,0,0,0
563,True,0,No user reviews,0,0,0
564,True,0,No user reviews,0,0,0
565,True,0,No user reviews,0,0,0
570,True,8,Very Positive,5506,653,6159
575,True,0,No user reviews,0,0,0
576,True,0,No user reviews,0,0,0
581,True,0,No user reviews,0,0,0
582,True,0,No user reviews,0,0,0
583,True,0,No user reviews,0,0,0
584,True,0,No user reviews,0,0,0
585,True,0,No user reviews,0,0,0
586,True,0,No user reviews,0,0,0
590,True,0,No user reviews,0,0,0
620,True,9,Overwhelmingly Positive,74754,861,75615
629,True,0,No user reviews,0,0,0
630,True,8,Very Positive,123,7,130
635,True,0,No user reviews,0,0,0
640,True,0,No user reviews,0,0,0
644,True,0,No user reviews,0,0,0
650,True,0,No user reviews,0,0,0
651,True,0,No user reviews,0,0,0
652,True,0,No user reviews,0,0,0
653,True,0,No user reviews,0,0,0
654,True,0,No user reviews,0,0,0
659,True,0,No user reviews,0,0,0
660,True,0,1 user reviews,1,0,1
669,True,0,No user reviews,0,0,0
730,True,8,Very Positive,815676,110706,926382
740,True,0,No user reviews,0,0,0
745,True,0,No user reviews,0,0,0
753,True,0,No user reviews,0,0,0
754,True,0,No user reviews,0,0,0
755,True,0,No user reviews,0,0,0
756,True,0,No user reviews,0,0,0
760,True,0,No user reviews,0,0,0
761,True,0,No user reviews,0,0,0
764,True,0,No user reviews,0,0,0
765,True,0,No user reviews,0,0,0
767,True,0,No user reviews,0,0,0
852,True,0,No user reviews,0,0,0
854,True,0,No user reviews,0,0,0
900,True,0,No user reviews,0,0,0
901,True,0,No user reviews,0,0,0
902,True,0,No user reviews,0,0,0
903,True,0,No user reviews,0,0,0
904,True,0,No user reviews,0,0,0
905,True,0,No user reviews,0,0,0
906,True,0,No user reviews,0,0,0
907,True,0,No user reviews,0,0,0
908,True,0,No user reviews,0,0,0
909,True,0,No user reviews,0,0,0
912,True,0,No user reviews,0,0,0
913,True,0,No user reviews,0,0,0
914,True,0,No user reviews,0,0,0
915,True,0,No user reviews,0,0,0
916,True,0,No user reviews,0,0,0
917,True,0,No user reviews,0,0,0
918,True,0,No user reviews,0,0,0
919,True,0,No user reviews,0,0,0
920,True,0,No user reviews,0,0,0
921,True,0,No user reviews,0,0,0
922,True,0,No user reviews,0,0,0
923,True,0,No user reviews,0,0,0
924,True,0,No user reviews,0,0,0
925,True,0,No user reviews,0,0,0
926,True,0,No user reviews,0,0,0
927,True,0,No user reviews,0,0,0
928,True,0,No user reviews,0,0,0
929,True,0,No user reviews,0,0,0
930,True,0,No user reviews,0,0,0
931,True,0,No user reviews,0,0,0
932,True,0,No user reviews,0,0,0
933,True,0,No user reviews,0,0,0
934,True,0,No user reviews,0,0,0
935,True,0,No user reviews,0,0,0
936,True,0,No user reviews,0,0,0
937,True,0,No user reviews,0,0,0
